"Ontology","Term ID","Term Name","Z-score","FDR","Num","Members"
"GOBP"," GO:0002376","immune system process","13.2","6.9e-17","22","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00129, PF00130, PF00169, PF00229, PF00605, PF00619, PF00656, PF00969, PF00993, PF01108, PF01582, PF07654, PF07686, PF07714, PF07716, PF10401"
"GOBP"," GO:0048522","positive regulation of cellular process","9.19","3.3e-14","29","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00169, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF00969, PF00993, PF01017, PF01023, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF10401"
"GOBP"," GO:0002684","positive regulation of immune system process","12.3","7.7e-13","16","PF00001, PF00017, PF00018, PF00020, PF00048, PF00129, PF00130, PF00169, PF00229, PF00619, PF00969, PF00993, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0006952","defense response","11.4","9.6e-13","18","PF00001, PF00017, PF00018, PF00020, PF00048, PF00129, PF00605, PF00619, PF01017, PF01023, PF01108, PF01582, PF02864, PF02865, PF07654, PF07714, PF09294, PF10401"
"GOBP"," GO:0006950","response to stress","9.55","9.6e-13","24","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00169, PF00170, PF00605, PF00619, PF01017, PF01023, PF01108, PF01582, PF02864, PF02865, PF07654, PF07714, PF07716, PF09294, PF10401"
"GOBP"," GO:0048518","positive regulation of biological process","8.27","9.8e-13","29","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00169, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF00969, PF00993, PF01017, PF01023, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF10401"
"GOBP"," GO:0009893","positive regulation of metabolic process","8.77","1.6e-11","24","PF00001, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF01017, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF10401"
"GOBP"," GO:0010604","positive regulation of macromolecule metabolic process","8.85","2.4e-11","23","PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF01017, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF10401"
"GOBP"," GO:0006955","immune response","10.5","1.1e-10","15","PF00001, PF00017, PF00018, PF00020, PF00048, PF00129, PF00605, PF00619, PF00969, PF00993, PF01108, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0001775","cell activation","12","1.8e-10","11","PF00008, PF00017, PF00018, PF00048, PF00129, PF00130, PF00169, PF00229, PF07654, PF07686, PF07714"
"GOBP"," GO:0071345","cellular response to cytokine stimulus","11.2","2.8e-10","12","PF00001, PF00017, PF00020, PF00048, PF00619, PF01017, PF01108, PF01582, PF02864, PF02865, PF07714, PF09294"
"GOBP"," GO:0045785","positive regulation of cell adhesion","11.6","3.1e-10","11","PF00017, PF00018, PF00048, PF00130, PF00169, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0051249","regulation of lymphocyte activation","11.6","3.1e-10","11","PF00017, PF00018, PF00020, PF00048, PF00129, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0051251","positive regulation of lymphocyte activation","12.5","4.7e-10","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0050870","positive regulation of T cell activation","12.5","4.7e-10","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0002694","regulation of leukocyte activation","11.3","5.1e-10","11","PF00017, PF00018, PF00020, PF00048, PF00129, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0034097","response to cytokine","10.8","5.7e-10","12","PF00001, PF00017, PF00020, PF00048, PF00619, PF01017, PF01108, PF01582, PF02864, PF02865, PF07714, PF09294"
"GOBP"," GO:0050865","regulation of cell activation","11","8.3e-10","11","PF00017, PF00018, PF00020, PF00048, PF00129, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0048584","positive regulation of response to stimulus","8.69","8.3e-10","18","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00129, PF00130, PF00169, PF00229, PF00619, PF00656, PF00969, PF01023, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0002682","regulation of immune system process","9.17","8.3e-10","16","PF00001, PF00017, PF00018, PF00020, PF00048, PF00129, PF00130, PF00169, PF00229, PF00619, PF00969, PF00993, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0071310","cellular response to organic substance","9.08","9e-10","16","PF00001, PF00017, PF00018, PF00020, PF00048, PF00169, PF00170, PF00619, PF00656, PF01017, PF01108, PF01582, PF02864, PF02865, PF07714, PF09294"
"GOBP"," GO:0045321","leukocyte activation","11.9","9e-10","9","PF00008, PF00017, PF00018, PF00048, PF00129, PF00229, PF07654, PF07686, PF07714"
"GOBP"," GO:0050867","positive regulation of cell activation","11.9","9e-10","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0002696","positive regulation of leukocyte activation","11.9","9e-10","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:1903039","positive regulation of leukocyte cell-cell adhesion","11.9","9e-10","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0022409","positive regulation of cell-cell adhesion","11.5","2.4e-9","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0007166","cell surface receptor signaling pathway","8.05","2.4e-9","19","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00169, PF00229, PF00619, PF01017, PF01108, PF01582, PF02864, PF02865, PF07654, PF07686, PF07714, PF09294"
"GOBP"," GO:0050896","response to stimulus","6.39","2.4e-9","29","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00169, PF00170, PF00229, PF00605, PF00619, PF00656, PF00969, PF00993, PF01017, PF01023, PF01108, PF01582, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF09294, PF10401"
"GOBP"," GO:0070887","cellular response to chemical stimulus","8.38","3e-9","17","PF00001, PF00017, PF00018, PF00020, PF00023, PF00048, PF00169, PF00170, PF00619, PF00656, PF01017, PF01108, PF01582, PF02864, PF02865, PF07714, PF09294"
"GOBP"," GO:0001817","regulation of cytokine production","9.73","3.7e-9","12","PF00001, PF00017, PF00020, PF00048, PF00129, PF00605, PF00619, PF01582, PF07654, PF07686, PF07714, PF10401"
"GOBP"," GO:0009607","response to biotic stimulus","9.3","4.2e-9","13","PF00017, PF00018, PF00020, PF00048, PF00129, PF00605, PF00619, PF01023, PF01108, PF01582, PF07654, PF07714, PF10401"
"GOBP"," GO:1902533","positive regulation of intracellular signal transduction","9.3","4.2e-9","13","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00229, PF00619, PF00656, PF01023, PF01582, PF07714"
"GOBP"," GO:0050778","positive regulation of immune response","9.77","7.8e-9","11","PF00001, PF00017, PF00018, PF00129, PF00130, PF00169, PF00619, PF00969, PF07654, PF07686, PF07714"
"GOBP"," GO:1903037","regulation of leukocyte cell-cell adhesion","10.6","9.5e-9","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0050863","regulation of T cell activation","10.6","9.5e-9","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0002757","immune response-activating signal transduction","11","1.3e-8","8","PF00001, PF00017, PF00018, PF00130, PF00169, PF07654, PF07686, PF07714"
"GOBP"," GO:0002429","immune response-activating cell surface receptor signaling pathway","11","1.3e-8","8","PF00001, PF00017, PF00018, PF00130, PF00169, PF07654, PF07686, PF07714"
"GOBP"," GO:0002764","immune response-regulating signaling pathway","9.92","1.3e-8","10","PF00001, PF00017, PF00018, PF00130, PF00169, PF00619, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0032101","regulation of response to external stimulus","8.76","1.4e-8","13","PF00001, PF00008, PF00017, PF00018, PF00048, PF00129, PF00619, PF00656, PF01023, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0098542","defense response to other organism","9.05","1.4e-8","12","PF00017, PF00018, PF00048, PF00129, PF00605, PF00619, PF01023, PF01108, PF01582, PF07654, PF07714, PF10401"
"GOBP"," GO:0051239","regulation of multicellular organismal process","7.42","1.4e-8","19","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00129, PF00130, PF00229, PF00605, PF00619, PF01017, PF01582, PF02864, PF02865, PF07654, PF07686, PF07714, PF10401"
"GOBP"," GO:0051240","positive regulation of multicellular organismal process","8.38","1.6e-8","14","PF00001, PF00008, PF00017, PF00020, PF00048, PF00129, PF00130, PF00229, PF00605, PF00619, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0031347","regulation of defense response","9.17","2.3e-8","11","PF00001, PF00017, PF00018, PF00048, PF00129, PF00619, PF00656, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0051173","positive regulation of nitrogen compound metabolic process","7.23","2.5e-8","19","PF00017, PF00018, PF00020, PF00023, PF00130, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF01017, PF01582, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
